,lemma,loc_frequency
0,Norditalien,1
1,Sars-CoV-2,2
2,Codogno,2
3,Lombardei,1
4,Venetien,1
5,italienisch,6
6,Wuhan,2
7,GiuseppeConte,1
8,Rom,9
9,süddeutschZeitung,110
10,Europa,10
11,Italien,12
12,Iran,1
13,Gangelt,2
14,niederländisch,1
15,Thoben,2
16,Nordrhein-Westfalen,1
17,Heinsberg,1
18,NRW,1
19,Südtirol,1
20,Sassuolo,1
21,Brescia,1
22,LazioRom,1
23,Turin,1
24,Mailand,1
25,Lazio,1
26,erstWeltkrieg,2
27,Trastevere,1
28,SanLorenzo,1
29,süddeutsch,34
30,Amerikaner,2
31,Amerika,1
32,TomHanks,1
33,ForrestGump,1
34,John-Hopkins,1
35,Baltimore,1
36,LisaBerger,2
37,Franken,1
38,Berger,2
39,Deutschland,33
40,Corona,21
41,Berlin,9
42,Bundeswehr,8
43,Bayern,2
44,MarkusSöder,1
45,MesseBerlin,1
46,AnnegretKramp-Karrenbauer,1
47,CDU,2
48,Coronavirus,4
49,ChristianSalaroli,1
50,Bergamo,3
51,CorriereDellaSerum,1
52,Salaroli,1
53,ITB,1
54,Berlin-Charlottenburg,1
55,DilekKalayci,1
56,SPD,2
57,Berliner,3
58,AlbrechtBroemme,1
59,China,4
60,OLIVERMEILER,4
61,Italiener,5
62,Bamberg,1
63,UniklinikumWürzburg,1
64,GeorgErtl,1
65,HelenaSchmidt,1
66,Krankenhausentlastungsgesetz,1
67,JensSpahn,3
68,CHRISTINABERNDT,4
69,Neuruppin,2
70,JulikaSchön,1
71,RuppinerKlinik,1
72,brandenburgisch,1
73,schön,1
74,München,4
75,ArbeitgeberverbandPflege,1
76,AGVP,1
77,FriedhelmFiedler,1
78,deutschBerufsverbandfürPflegeberufe,3
79,DBfK,1
80,UweJanssens,1
81,deutschinterdisziplinärVereinigungfürIntensiv-undNotfallmedizin,3
82,DIVI,2
83,Janssens,1
84,Spanien,3
85,BerlinerCity,1
86,FriedrichChristianDelius,1
87,Münchner,2
88,technischUniversität,1
89,KlinikumMünchen,1
90,Schwabing,1
91,HamburgerUniklinikumEppendorf,1
92,UniklinikumDüsseldorf,1
93,ChristophSpinner,1
94,Isar,1
95,Bundesregierung,1
96,Südkorea,1
97,NDR,3
98,WDR,1
99,Bundesinnenministerium,1
100,wiewireB>Covid-19</,1
101,Deutsche,1
102,Bellucci,2
103,Japan,1
104,WERNERBARTENS,4
105,KonzernFresenius,1
106,FrancescoDeMeo,2
107,INTERVIEW,4
108,ELISABETHDOSTERT,3
109,DeMeo,2
110,Dax-KonzernFresenius,1
111,FreseniusHelios,1
112,AndreasMöhler,1
113,Möhler,2
114,UnikrankenhausBrugmann,1
115,Brüssel,2
116,deutschInterdisziplinäreVereinigungfürIntensiv-undNotfallmedizin,1
117,französisch,2
118,EmmanuelMacron,1
119,Peking,1
120,Madrid,2
121,ReinhardBus,1
122,LotharWieler,1
123,Robert-Koch-Institut,5
124,RKI,6
125,USA,8
126,NewYork,4
127,DonaldTrump,3
128,Irakkrieg,1
129,Haiti,1
130,Irak,1
131,Louisiana,1
132,HurrikansKatrina,1
133,Americafirst,1
134,HeliosKlinikum,2
135,KrankenhausbetriebeinMünchen,1
136,MünchenWest,1
137,RezaGhotbi,1
138,SollisHealth,1
139,Tribeca,1
140,BernardKruger,1
141,FT,2
142,AndrewCarmellini,1
143,NewYorkCity,3
144,Manhattan,1
145,Hamptons,1
146,JÜRGENSCHMIEDER,1
147,U20/APR.00597süddeutschZeitung,1
148,Myhomeismycastle,1
149,ManuelaSchwesig,1
150,Mecklenburg-Vorpommern,1
151,Schwesig,1
152,norditalienisch,1
153,deutsch,7
154,Trump,4
155,AnthonyFauci,1
156,Gießener,1
157,SteffenAugsberg,1
158,Augsberg,1
159,IntermediateCare,1
160,Großbritannien,8
161,BorisJohnson,8
162,Brite,3
163,VONCaghosKAHLWEIT,1
164,U20/APR.00889süddeutschZeitung,1
165,Braunschweig,1
166,Hannover,1
167,CarolaReimann,1
168,Reimann,1
