index,unnamed,lemma,loc_frequency,fcode
0,0,Norditalien,1,
1,1,Sars-CoV-2,2,
2,2,Codogno,2,PPLA3
3,3,Lombardei,1,PPLA
4,4,Venetien,1,ADM1
5,5,italienisch,6,
6,6,Wuhan,2,PPLA
7,7,GiuseppeConte,1,
8,8,Rom,9,PPLC
9,9,süddeutschZeitung,110,
10,10,Europa,10,CONT
11,11,Italien,12,PCLI
12,12,Iran,1,PCLI
13,13,Gangelt,2,PPLA4
14,14,niederländisch,1,
15,15,Thoben,2,
16,16,Nordrhein-Westfalen,1,ADM1
17,17,Heinsberg,1,PPL
18,18,NRW,1,PPLA3
19,19,Südtirol,1,ADM1
20,20,Sassuolo,1,PPLA3
21,21,Brescia,1,PPLA2
22,22,LazioRom,1,
23,23,Turin,1,PPLA
24,24,Mailand,1,PPLA
25,25,Lazio,1,PPLC
26,26,erstWeltkrieg,2,
27,27,Trastevere,1,PPLX
28,28,SanLorenzo,1,
29,29,süddeutsch,34,
30,30,Amerikaner,2,
31,31,Amerika,1,CONT
32,32,TomHanks,1,
33,33,ForrestGump,1,
34,34,John-Hopkins,1,BAY
35,35,Baltimore,1,PPLA2
36,36,LisaBerger,2,
37,37,Franken,1,RGN
38,38,Berger,2,PPL
39,39,Deutschland,33,PCLI
40,40,Corona,21,ADM2
41,41,Berlin,9,PPLC
42,42,Bundeswehr,8,
43,43,Bayern,2,PPLA
44,44,MarkusSöder,1,
45,45,MesseBerlin,1,
46,46,AnnegretKramp-Karrenbauer,1,
47,47,CDU,2,AIRP
48,48,Coronavirus,4,
49,49,ChristianSalaroli,1,
50,50,Bergamo,3,PPLA2
51,51,CorriereDellaSerum,1,
52,52,Salaroli,1,
53,53,ITB,1,AIRP
54,54,Berlin-Charlottenburg,1,PPLX
55,55,DilekKalayci,1,
56,56,SPD,2,MT
57,57,Berliner,3,LK
58,58,AlbrechtBroemme,1,
59,59,China,4,PCLI
60,60,OLIVERMEILER,4,
61,61,Italiener,5,ST
62,62,Bamberg,1,PPLA3
63,63,UniklinikumWürzburg,1,
64,64,GeorgErtl,1,
65,65,HelenaSchmidt,1,
66,66,Krankenhausentlastungsgesetz,1,
67,67,JensSpahn,3,
68,68,CHRISTINABERNDT,4,
69,69,Neuruppin,2,PPLA3
70,70,JulikaSchön,1,
71,71,RuppinerKlinik,1,
72,72,brandenburgisch,1,
73,73,schön,1,LK
74,74,München,4,PPLA
75,75,ArbeitgeberverbandPflege,1,
76,76,AGVP,1,
77,77,FriedhelmFiedler,1,
78,78,deutschBerufsverbandfürPflegeberufe,3,
79,79,DBfK,1,
80,80,UweJanssens,1,
81,81,deutschinterdisziplinärVereinigungfürIntensiv-undNotfallmedizin,3,
82,82,DIVI,2,STMI
83,83,Janssens,1,RF
84,84,Spanien,3,PCLI
85,85,BerlinerCity,1,
86,86,FriedrichChristianDelius,1,
87,87,Münchner,2,HLL
88,88,technischUniversität,1,
89,89,KlinikumMünchen,1,
90,90,Schwabing,1,PPLX
91,91,HamburgerUniklinikumEppendorf,1,
92,92,UniklinikumDüsseldorf,1,
93,93,ChristophSpinner,1,
94,94,Isar,1,MT
95,95,Bundesregierung,1,
96,96,Südkorea,1,PCLI
97,97,NDR,3,PPLA3
