,lemma,loc_frequency
0,Leibniz,1
1,InstitutfürdeutschSprache,1
2,MannheimCOSMASII,1
3,DeutscheReferenzkorpusDeReKo-2021-ISuchanfrage,1
4,IntensivbettorIntensivstation,1
5,CoronaorCovid,1
6,KWIC,1
7,PlutoniaPlarreT20,1
8,T20,2
9,IslandT20,1
10,Großbritannien,6
11,FelixLee,2
12,Berlin,7
13,RebeccaMaskos,2
14,Manchester,2
15,Wiener,2
16,EvaMirasol,2
17,Coronavirus,3
18,Nordrhein-Westfalen,2
19,Baden-Württemberg,2
20,Heinsberg,2
21,NRW,1
22,Sozialministerium,1
23,Göppingen,1
24,Mailand,1
25,Coronafälle,2
26,Coranavirus,1
27,BerlinerCharité,1
28,ChristianDrosten,1
29,WeltgesundheitsorganisationWHO,1
30,Genf,1
31,TedrosAdhanomGhebreyesus,2
32,China,2
33,taz,2
34,FrancescaBorri,1
35,italienisch,3
36,AlzanoLombardo,2
37,Lesbos,2
38,Deutschland,10
39,MircoKeilberth,1
40,Tunis,1
41,Corona,4
42,Schleswig-Holstein,2
43,Wedel,1
44,PflegeberufekammerSchleswig-Holstein,1
45,AntonioAmato,1
46,Italien,5
47,Bergamo,4
48,GiulioGallera,1
49,BrooklynNets,1
50,Yorker,1
51,BilldeBlasio,1
52,NBA,4
53,NewYorker,2
54,DavidStern,1
55,deBlasio,1
56,US,4
57,Stern,1
58,amerikanisch,1
59,Hamburger,1
60,Ver.di,3
61,SchönKlinik,1
62,Hamburg,2
63,Eilbek,1
64,AstridReining,1
65,deutsch,4
66,spanisch,1
67,UME,1
68,MargaritaRobles,1
69,Madrid,4
70,Spanien,4
71,PlutoniaPlarre,1
72,Gangelt-Langbroich,1
73,-Harzelt,1
74,Schierwaldenrath,1
75,Gangelt,2
76,Hastenrath,1
77,Langbroich,1
78,BerndB.,1
79,Birgden,2
80,IreneNobis,1
81,Norddeutschland,1
82,Frankreich,4
83,SimonAudibert,1
84,HôpitalGeorgePompidou,1
85,Paris,2
86,Kranzik,1
87,CoronaIsland,1
88,PoliklinikSanPietro,1
89,Rhein-Main,1
90,StefanKarakaya,1
91,Neukölln,1
92,Karakaya,1
93,Sommer,2
94,ElkeZacharias,1
95,PflegendenAngehörigenxyxHTMLyxyxyxHTMEyxy,1
96,bayerisch,1
97,Amberg,1
98,Dominic,1
99,Johnson,2
100,britisch,6
101,DominicRaab,3
102,BorisJohnson,7
103,FirstSecretaryofState,1
104,FirstSecretary,1
105,RafaelBeijinho,1
106,InfantaLeonor,1
107,Madrider,1
108,Vallecas,1
109,MatsSanidad,1
110,MarisolCastro,1
111,CCOO,1
