index,lemma,loc_frequency,fcode,country_name
10,Großbritannien,6,PCLI,United Kingdom
32,China,2,PCLI,China
38,Deutschland,10,PCLI,Germany
46,Italien,5,PCLI,Italy
70,Spanien,4,PCLI,Spain
82,Frankreich,7,PCLI,France
118,Elfenbeinküste,1,PCLI,Côte d'Ivoire
120,Kamerun,1,PCLI,Cameroon
123,Kongo,1,PCLI,Congo
135,Libyen,1,PCLI,Libya
139,Ecuador,3,PCLI,Ecuador
141,Brasilien,1,PCLI,Brazil
146,Schweden,2,PCLI,Sweden
153,Österreich,2,PCLI,Austria
173,Südafrika,4,PCLI,South Africa
204,Tunesien,2,PCLI,Tunisia
226,Griechenland,1,PCLI,Greece
228,Somalia,1,PCLI,Somalia
260,Tschechien,3,PCLI,Czechia
261,Belgien,1,PCLI,Belgium
269,Russische,1,PCLI,Russia
